id,year,title,url,source_class,supports,does_not_support,status
UN-R001,2011,Report of the Secretary-General's Panel of Experts on Accountability in Sri Lanka,https://www.law.umich.edu/facultyhome/drwcasebook/Documents/Documents/Report%20of%20the%20Panel%20of%20Experts%20on%20Accountability%20in%20Sri%20Lanka.pdf,UN expert panel,Main route for up to 40000 civilian deaths final-phase estimate,Exact count or Mullivaikkal-only count,CORE
UN-R002,2011,SG/SM/13524 releasing Panel report,https://press.un.org/en/2011/sgsm13524.doc.htm,UN press release,Release and advisory status,Casualty methodology,CORE_CONTEXT
UN-R003,2011,SG readout receiving Panel report,https://www.un.org/sg/en/content/former-secretary-general/readout/2011-04-12/readout-of-the-secretary-generals-meeting-the-panel-of-experts-sri-lanka,UN readout,Delivery and sharing with Government,Casualty estimate,CONTEXT
UN-R004,2011,SG/SM/13791 forwarding Panel report to HRC/OHCHR,https://press.un.org/en/2011/sgsm13791.doc.htm,UN press release,Institutional transmission,Casualty estimate,CONTEXT
UN-R005,2012,Secretary-General's Internal Review Panel on UN Action in Sri Lanka,https://digitallibrary.un.org/record/737299/files/The_Internal_Review_Panel_report_on_Sri_Lanka.pdf,UN internal review,UN institutional failure and under-reporting context,Final casualty settlement,CORE
UN-R006,2015,OHCHR Investigation on Sri Lanka OISL A/HRC/30/CRP.2,https://www.ohchr.org/sites/default/files/documents/hrbodies/hrcouncil/sessions-regular/session30/documents/a-hrc-30-crp-2.pdf,OHCHR investigation,Incident pattern legal/factual findings and Mullivaikkal hospital evidence,Total death toll,CORE
UN-R007,2015,Comprehensive OHCHR report A/HRC/30/61,https://ap.ohchr.org/documents/alldocs.aspx?doc_id=25820,OHCHR report,Companion report to OISL,Needs review before casualty use,ACTIVE_ROUTE
UN-R008,2021,OHCHR report A/HRC/46/20,https://undocs.org/A/HRC/46/20,OHCHR report,Accountability assessment and basis for HRC 46/1,Direct death toll,ACTIVE_ROUTE
UN-R009,2021,OHCHR Sri Lanka Accountability Project mandate,https://webphp.dev.ohchr.un-icc.cloud/en/hr-bodies/hrc/sri-lanka-accountability/index,OHCHR mandate page,Evidence preservation mandate,Death toll proof,CORE_CONTEXT
UN-R010,2022,OHCHR report A/HRC/49/9,https://documents.un.org/api/symbol/access?l=en&s=a%2Fhrc%2F49%2F9&t=pdf,OHCHR report,Accountability monitoring,Death toll proof,ACTIVE
UN-R011,2022,OHCHR comprehensive report A/HRC/51/5,https://digitallibrary.un.org/record/4001791/files/A_HRC_51_5-EN.pdf,OHCHR report,Human rights situation and accountability options,Death toll proof,ACTIVE
UN-R012,2024,Accountability for Enforced Disappearances in Sri Lanka,https://www.ohchr.org/sites/default/files/documents/hrbodies/hrcouncil/sri-lanka/report-accountability-enforced-disappearances-sri-lanka-may2024-en.pdf,OHCHR report,Disappearances and victim-centred accountability,Death toll count,ACTIVE
UN-R013,2024,Unofficial summary enforced-disappearances report,https://www.ohchr.org/sites/default/files/documents/hrbodies/hrcouncil/sri-lanka/unofficial-summary-report-accountability-enforced-disappearances-sri-lanka-en.pdf,OHCHR summary,Accessible summary,Primary evidence, SUPPORTING
UN-R014,2024,OHCHR comprehensive report A/HRC/57/19,https://documents.un.org/api/symbol/access?l=en&s=A%2FHRC%2F57%2F19&t=pdf,OHCHR report,Developments under HRC 51/1 and accountability options,Death toll proof,ACTIVE
UN-R015,2025,CED concluding observations CED/C/LKA/CO/1,https://docstore.ohchr.org/SelfServices/FilesHandler.ashx?enc=lRE84l6dXcNU07w0TOFcVhf4AWdC%2Fivo3GuizB69MIRnD%2FhYlvSm5u75fYtkFHEq5HjA6mOytXbodv2LnwVeDQ%3D%3D,UN treaty body,Disappearances and OMP/OHCHR evidence repository context,Death toll proof,ACTIVE
UN-R016,2024,Special Procedures communication LKA 1/2024,https://spcommreports.ohchr.org/TmSearch/SearchCode?code=LKA+1%2F2024,UN special procedures,Memorialization restrictions,Death toll proof,SUPPORTING
