page,row_label,url,claim_cluster,displayed_claim,source_cited_or_stack,hardens_un_claim,collapses_categories,geography_shift,revision_signal_2026,evidence_status,notes
Mullivaikkal massacre,MM-001,https://en.wikipedia.org/wiki/Mullivaikkal_massacre,infobox_fatalities,"40000-70000 fatalities","Al Jazeera opinion plus broader article stack",YES,YES,YES,"2026-05-17 to 2026-05-20 temporary-account edits and reverts",CAPTURED,"Most aggressive high-authority compression lane in the current Wikipedia set."
Mullivaikkal massacre,MM-002,https://en.wikipedia.org/wiki/Mullivaikkal_massacre,lead_sentence,"according to the UN between 40000 and 70000 entrapped Tamil civilians were killed","Channel 4 BBC Guardian WSJ AP Independent Pulitzer UN Panel Petrie",YES,YES,YES,"2026-05-17 to 2026-05-20 revision churn",CAPTURED,"UN is presented as if it directly supports the combined range."
Mullivaikkal massacre,MM-003,https://en.wikipedia.org/wiki/Mullivaikkal_massacre,citation_stack,"event page uses multi-source authority pileup","UN plus media plus rights reports",YES,MIXED,YES,"same window",CAPTURED,"Stacking creates false impression of multiple independent recounts."
Tamil genocide,TG-001,https://en.wikipedia.org/wiki/Tamil_genocide,infobox_totals,"154022-253818 total / 169796 killed in Jan-May 2009","TCHR NESOHR ITJP advocacy routes",YES,YES,NO,"2026-01 and 2026-02 edits around ITJP-GSF and source defense",CAPTURED,"Highest category-collapse page in the current graph."
Tamil genocide,TG-002,https://en.wikipedia.org/wiki/Tamil_genocide,casualty_row,"40000-70000 killed and unaccounted","Petrie Guardian OISL advocacy/legal stack",YES,YES,NO,"2026-01 edits around Mullivaikkal-related claims",CAPTURED,"Deaths and unaccounted are merged in reader perception."
Tamil genocide,TG-003,https://en.wikipedia.org/wiki/Tamil_genocide,frame_effect,"genocide frame wraps disputed casualty clusters","PEARL PPT scholarship and advocacy stack",MIXED,YES,NO,"2026-01 to 2026-02 frame-stability edits",CAPTURED,"Page is powerful even when individual citations exist."
Mullivaikkal Remembrance Day,MRD-001,https://en.wikipedia.org/wiki/Mullivaikkal_Remembrance_Day,lead_sentence,"UN report found as many as 40000 Tamil civilians may have been killed in final months","Reuters 2014 Washington Post 2011 Al Jazeera 2011",MILD,NO,MILD,"2026-05-18 to 2026-05-20 NPOV and citation reverts",CAPTURED,"Media mediation replaces direct primary citation."
Mullivaikkal Remembrance Day,MRD-002,https://en.wikipedia.org/wiki/Mullivaikkal_Remembrance_Day,recurrence_effect,"annual remembrance page recirculates the number every May","same media stack",MILD,NO,YES,"same window",CAPTURED,"Calendar recurrence raises propagation power."
Casualties of the Sri Lankan civil war,CSCW-001,https://en.wikipedia.org/wiki/Casualties_of_the_Sri_Lankan_civil_war,lead_quote,"lead preserves exact UN Panel wording","direct UN Panel citation",NO,NO,NO,"2025 revert over sourcing; 2026 maintenance edits",CAPTURED,"Best current Wikipedia preservation of the cautious wording."
Casualties of the Sri Lankan civil war,CSCW-002,https://en.wikipedia.org/wiki/Casualties_of_the_Sri_Lankan_civil_war,table_ranges,"9257-140000 and 13084-75000 ranges appear in tables","mixed UN Panel, BBC, ITJP and other sources",NO,YES,NO,"2025 sourcing disputes; 2026 rescue edits",CAPTURED,"Tables create wide false-continuum risk."
Casualties of the Sri Lankan civil war,CSCW-003,https://en.wikipedia.org/wiki/Casualties_of_the_Sri_Lankan_civil_war,source_note,"one note says BBC source does not support claim","maintenance and corrective note",NO,NO,NO,"2025-2026 maintenance",CAPTURED,"Useful proof that the page already contains internal source tension."
War crimes during the final stages of the Sri Lankan civil war,WCFS-001,https://en.wikipedia.org/wiki/War_crimes_during_the_final_stages_of_the_Sri_Lankan_civil_war,accountability_hub,"war-crimes page routes users into casualty and hospital-shelling evidence","ICG UN State Department Channel 4 and others",NO,NO,NO,"no major May 2026 citation event captured in this pass",CAPTURED,"Important adjacent hub for narrative authority even without a single dominant death number."
